Project #,Unnamed: 1,CSI Div,CSI,Sub-Group,Item,Make,Model,Unnamed: 8,OM,OM_Count,Warranty,Warranty_Count,Submittals,Submittals_Count,Unnamed: 15,General vs Fixed-Asset,Asset Tag #,FA Tag #,Unnamed: 19,Building,Fusion #,Floor,Room,Latitude,Longitide,Unnamed: 26,O&M Binder #,Warranty Start,Warranty Duration,Warranty Expires,Unnamed: 31,Item a Consumable ?,Unnamed: 33,Recommend Indiv item Tracking?,Currently Indiv item tracked?,Unnamed: 36,Recommend Waldrop ID Tag?,Currently Waldrop ID Tag?,Contractor,Contract,sheet
11110,,26,26-Electrical,,Wall Switch,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11110
11110,,26,26-Electrical,,Cert of Compliance - Indoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11110
11110,,26,26-Electrical,,Cert of Compliance - Outdoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11110
11240,,26,26-Electrical,,UPS - Uninteruptable Power Supply,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11240
11240,,26,26-Electrical,,Washing Machine / Dryer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11240
11240,,26,26-Electrical,,Electric Meter,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11240
11240,,26,26-Electrical,,Elevator Smoke Door,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11240
11240,,26,26-Electrical,,Lighting Control Panel; Network Lighting Controls,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11240
11240,,26,26-Electrical,,Bloom boxes - power,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,,,11240
11240,,26,26-Electrical,,SDGE Box,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Street Light / Pathway Light,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Dedicated Power for BTU Meter (Gas Meter),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Egress / Emergency Lighting,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,Yes,Yes,,,11240
11240,,26,26-Electrical,,Elec hand wash / sink,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Electrical Cabinets and Enclosures,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Lighting Fixtures; Luminaire Schedule,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Lighting Inverter,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Panel Boards,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Switchboards; Wall-Mounted Panelboards,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Transformer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,TVSS - Transient Voltage Surge Suppressor,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11240
11240,,26,26-Electrical,,Solar Panels,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11240
11240,,26,26-Electrical,,Junction Boxes,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11240
11240,,26,26-Electrical,,Substation??,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11240
11240,,26,26-Electrical,,Elec outlets / power outlets,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11240
11240,,26,26-Electrical,,Wall Switch,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11240
11240,,26,26-Electrical,,Cert of Compliance - Indoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11240
11240,,26,26-Electrical,,Cert of Compliance - Outdoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11240
11250,,26,26-Electrical,,UPS - Uninteruptable Power Supply,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11250
11250,,26,26-Electrical,,Washing Machine / Dryer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Yes,,,11250
11250,,26,26-Electrical,,Electric Meter,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11250
11250,,26,26-Electrical,,Elevator Smoke Door,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11250
11250,,26,26-Electrical,,Lighting Control Panel; Network Lighting Controls,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,No,No,,,11250
11250,,26,26-Electrical,,Bloom boxes - power,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,Yes,No,,,11250
11250,,26,26-Electrical,,SDGE Box,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Street Light / Pathway Light,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Dedicated Power for BTU Meter (Gas Meter),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Egress / Emergency Lighting,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,Yes,Yes,,,11250
11250,,26,26-Electrical,,Elec hand wash / sink,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Electrical Cabinets and Enclosures,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Lighting Fixtures; Luminaire Schedule,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Lighting Inverter,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Panel Boards,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Switchboards; Wall-Mounted Panelboards,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Transformer,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,TVSS - Transient Voltage Surge Suppressor,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,No,,No,No,,,11250
11250,,26,26-Electrical,,Solar Panels,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,Yes,?,,No,No,,,11250
11250,,26,26-Electrical,,Junction Boxes,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11250
11250,,26,26-Electrical,,Substation??,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,No,No,,No,No,,,11250
11250,,26,26-Electrical,,Elec outlets / power outlets,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11250
11250,,26,26-Electrical,,Wall Switch,,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11250
11250,,26,26-Electrical,,Cert of Compliance - Indoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11250
11250,,26,26-Electrical,,Cert of Compliance - Outdoor Lighting (see 04-110817 E Sheets),,,,TBD,1,TBD,1,TBD,1,,,,,,,,,,,,,,,,,,No,,?,No,,No,No,,,11250
